node,lineage,degree
ABC,B cell,28
NR4A2+_Bn,B cell,24
CD16+_NK,T cell,35
CD16-_NK,T cell,30
CLEC9A+_cDC,Myeloid,7
CD4_CXCL13+_T,T cell,28
CD4_Tfh,T cell,30
Bgc,B cell,27
ILC3,T cell,28
CD8_ISG15+_T,T cell,31
LAMP3+_cDC,Myeloid,22
LILRA4+_pDC,Myeloid,28
MAIT,T cell,35
Macro,Myeloid,33
Bmem,B cell,24
NK,T cell,32
Bn,B cell,26
CD4_Unassigned_T,T cell,29
CD8_Tcm/Tn,T cell,24
CD4_Tcm/Tn,T cell,27
CD4_Tem/Effector,T cell,31
CD8_Tem/Temra,T cell,32
CD8_Tem/Trm,T cell,29
CD8_Trm,T cell,31
CD4_Th17,T cell,32
CD4_Th1,T cell,35
CD8_Tex,T cell,34
gd_T,Myeloid,28
CD4_Treg,T cell,31
Arterial_EC,Endothelial,8
Fibrosis_PGF+_Tip_EC,Endothelial,6
Mast,Myeloid,10
SMC,Mural,5
SPRY1+_EC,Endothelial,9
Venous_EC,Endothelial,11
Venous_iEC,Endothelial,14
myoCAF,Fibroblast,12
vCAF,Fibroblast,17
CCL2+_iEC,Endothelial,1
TMEM100+_EC,Endothelial,5
CD14+_Mono,Myeloid,17
CD16+_Mono,Myeloid,30
CXCL3+_Macro,Myeloid,23
IL6+_iCAF,Fibroblast,14
SPP1+_CXCL3+_Macro,Myeloid,5
SPP1+_MT1+_Macro,Myeloid,9
CD14+_EC,Endothelial,7
Capillary_EC,Endothelial,13
Lymphatic_EC,Endothelial,4
FOLR2+_Macro,Myeloid,11
TNFSF10+_Macro,Myeloid,12
Plasma,B cell,7
CD8_Cycling_Tex,T cell,9
CD1C+_cDC,Myeloid,14
apCAF,Fibroblast,10
PGF+_Tip_EC,Endothelial,5
Pericyte,Mural,7
Tip_EC,Endothelial,5
Epi_ER-Stress,Epithelial,3
Epi_MHCII,Epithelial,2
Epi_Ciliated,Epithelial,1
Epi_Hormonal,Epithelial,2
Epi_cEMT,Epithelial,1
Epi_Xenobiotic,Epithelial,1
Epi_TNF,Epithelial,1
Epi_Glandular,Epithelial,2
Epi_Squamous,Epithelial,1
ISG15+_mCAF,Fibroblast,7
HMGB2+_cycEC,Endothelial,3
cyc_mCAF,Fibroblast,1
HMOX1+_iEC,Endothelial,1
tCAF,Fibroblast,4
HSP+_tCAF,Fibroblast,7
PI16+_iCAF,Fibroblast,7
iCAF,Fibroblast,5
HSPA6+_Macro,Myeloid,2
SPP1+_Macro,Myeloid,4
CD4_Cycling_Treg,T cell,5
SPP1+_cycMacro,Myeloid,4
pnCAF,Fibroblast,2
Normal_Fibroblast,Fibroblast,1
mCAF,Fibroblast,2
